RXAtom_AUI,Most_Useful_Source_CODE,Source_Abbreviation,Term_Type_In_Source_TTY,Drug_String,Old_RXConcept_CUI,New_RXConcept_CUI
1992556,5B,NDDF,DF,NASAL POWDER,388444,1739329
2064178,347392009,SNOMEDCT_US,PT,Dopamine hydrochloride in glucose 400mg/250mL infusion,1292751,1743877
2064179,347392009,SNOMEDCT_US,FN,Dopamine hydrochloride in glucose 400mg/250mL infusion (product),1292751,1743877
2069636,4018530,VANDF,IN,CHROMIC CHLORIDE HEXAHYDRATE,21009,1740011
2072320,4020268,VANDF,IN,METHYLBENZETHONIUM CHLORIDE,29829,1742958
2072656,4003861,VANDF,CD,OXACILLIN NA 180MG/VIL INJ,312127,1743552
2072658,4003855,VANDF,CD,OXACILLIN NA 250MG/VIL INJ,312130,1743553
2072659,4003852,VANDF,CD,OXACILLIN NA 4GM/VIL INJ,312130,1743551
2295476,100041,MMX,CD,Albumin Human 25% Intravenous Solution,238643,1741378
2295477,100042,MMX,CD,Albumin Human 5% Intravenous Solution,238644,1741405
2299261,104433,MMX,CD,Dextrose/Dopamine Hydrochloride 5%-100 MG/100 ML Intravenous Solution,1292742,1743879
2299262,104434,MMX,CD,Dextrose/Dopamine Hydrochloride 5%-160 MG/100 ML Intravenous Solution,1292751,1743878
2299264,104435,MMX,CD,Dextrose/Dopamine Hydrochloride 5%-80 MG/100 ML Intravenous Solution,1292740,1743870
2299272,104261,MMX,CD,Dextrose/Heparin Sodium 5%-5000 U/100 ML Intravenous Solution,1659187,1659196
2300432,101670,MMX,CD,Glucagon Hydrochloride 1 MG Injection Powder for Solution,310497,1744191
2300721,112096,MMX,CD,Heparin Sodium/Sodium Chloride 10 U/ML-0.9% Intravenous Solution,1190658,1362055
2300725,104281,MMX,CD,Heparin Sodium/Sodium Chloride 5000 U/100 ML-0.45% Intravenous Solution,1659187,1659196
2301514,102209,MMX,CD,Lidocaine Hydrochloride 2% Injection Solution,1737862,1257365
2301923,102429,MMX,CD,Methohexital Sodium 5 GM Intravenous Powder for Solution,1244231,1741139
2302528,102826,MMX,CD,Oxacillin Sodium 1 GM Injection Powder for Solution,312130,1743547
2302531,102828,MMX,CD,Oxacillin Sodium 2 GM Injection Powder for Solution,312130,1743549
2303646,110954,MMX,CD,Sodium Fluoride 0.05% Oral Solution,597965,240698
2304088,104206,MMX,CD,Tioconazole 6.5% Vaginal Ointment,1233674,1597827
2358455,416791001,SNOMEDCT_US,PT,Ferumoxide 11.2mg/mL injection solution 5mL vial,310329,1739530
2358456,416791001,SNOMEDCT_US,FN,Ferumoxide 11.2mg/mL injection solution 5mL vial (product),310329,1739530
2358457,416791001,SNOMEDCT_US,SY,Ferumoxide 56mg/5mL injection solution,310329,1739530
2358536,417606000,SNOMEDCT_US,PT,Histrelin 50mg implant,1294624,1740440
2358537,417606000,SNOMEDCT_US,FN,Histrelin 50mg implant (product),1294624,1740440
2358538,417606000,SNOMEDCT_US,SY,Histrelin 50mg subcutaneous implant,1294624,1740440
2358539,417606000,SNOMEDCT_US,SY,Histrelin acetate 50mg implant,1294624,1740440
2358540,417606000,SNOMEDCT_US,SY,Histrelin acetate 50mg subcutaneous implant,1294624,1740440
2358657,374055002,SNOMEDCT_US,SY,Methylprednisolone sodium su 125mg injection,314099,1743704
2358658,374055002,SNOMEDCT_US,SY,Methylprednisolone sodium su 125mg/vial powder for injection,314099,1743704
2360455,2315,MMSL,BD,"A-Methapred, 1 g injectable powder for injection",544779,1744036
2360896,783,MMSL,BD,"Adenoscan, 3 mg/mL intravenous solution",1654042,1654039
2360934,2312,MMSL,BD,"Adlone-40, 40 mg/mL injectable suspension",1358610,1744213
2360935,2314,MMSL,BD,"Adlone-80, 80 mg/mL injectable suspension",1358617,1744229
2361057,2275,MMSL,BD,"Aldomet Ester Hydrochloride, 50 mg/mL intravenous solution",750195,1740924
2361522,2345,MMSL,BD,"Antiflex, 30 mg/mL injectable solution",994543,1740447
2361525,2630,MMSL,BD,"Antilirium, 1 mg/mL injectable solution",990984,1739531
2362046,2352,MMSL,BD,"Bactocill, 1 g injectable powder for injection",207238,1743540
2362047,2355,MMSL,BD,"Bactocill, 10 g injectable powder for injection",207237,1743539
2362048,2353,MMSL,BD,"Bactocill, 2 g injectable powder for injection",207238,1743540
2362049,2354,MMSL,BD,"Bactocill, 4 g injectable powder for injection",207238,1743540
2362192,2345,MMSL,BD,"Banflex, 30 mg/mL injectable solution",994545,1741592
2363184,2191,MMSL,BD,"Carbacot, 100 mg/mL injectable solution",207013,1741266
2364627,1073,MMSL,CD,DOPamine 40 mg/mL intravenous solution,1114880,1743939
2364632,1074,MMSL,CD,DOPamine 80 mg/mL intravenous solution,1114888,1743951
2364635,1073,MMSL,BD,"DOPamine Hydrochloride, 40 mg/mL intravenous solution",1114880,1743939
2364639,1074,MMSL,BD,"DOPamine Hydrochloride, 80 mg/mL intravenous solution",1114888,1743951
2364780,2314,MMSL,BD,"Dep Medalone 80, 80 mg/mL injectable suspension",1358617,1744236
2364800,2312,MMSL,BD,"Depmedalone, 40 mg/mL injectable suspension",1358610,1744196
2364801,2314,MMSL,BD,"Depmedalone, 80 mg/mL injectable suspension",1358617,1744225
2364805,2312,MMSL,BD,"Depo-Medrol, 40 mg/mL injectable suspension",1358612,1743785
2364806,2314,MMSL,BD,"Depo-Medrol, 80 mg/mL injectable suspension",1358619,1743933
2364818,2314,MMSL,BD,"Depoject-80, 80 mg/mL injectable suspension",1358617,1744227
2364819,2312,MMSL,BD,"Depopred, 40 mg/mL injectable suspension",1358610,1744207
2365572,2312,MMSL,BD,"Duralone, 40 mg/mL injectable suspension",1358610,1744208
2365573,2314,MMSL,BD,"Duralone, 80 mg/mL injectable suspension",1358617,1744228
2366381,2050,MMSL,BD,"Famotidine, 10 mg/mL intravenous solution",204441,1743840
2366465,6913,MMSL,BD,"Feridex, 11.2 mg/mL intravenous solution",261125,1739529
2366610,2345,MMSL,BD,"Flexoject, 30 mg/mL injectable solution",994756,1741587
2366611,2345,MMSL,BD,"Flexon, 30 mg/mL injectable solution",994758,1741588
2367361,149,MMSL,BD,"Haloperidol Lactate, 5 mg/mL injectable solution",1719647,1740430
2367484,1830,MMSL,BD,"Heparin Sodium, 5000 units/mL injectable solution",1659265,1670358
2367668,5602,MMSL,BD,"Human Albumin Grifols, 20% intravenous solution",603574,1741301
2367669,8,MMSL,BD,"Human Albumin Grifols, 25% intravenous solution",603578,1742226
2368090,1180,MMSL,BD,"Inapsine, 2.5 mg/mL injectable solution",205667,1743568
2368256,1073,MMSL,BD,"Intropin, 40 mg/mL intravenous solution",1114882,1743860
2369644,2312,MMSL,BD,"Med-Jec-40, 40 mg/mL injectable suspension",1358610,1744221
2369690,2312,MMSL,BD,"Medipred, 40 mg/mL injectable suspension",1358610,1744220
2369691,2314,MMSL,BD,"Medipred, 80 mg/mL injectable suspension",1358617,1744233
2369701,2312,MMSL,BD,"Medralone 40, 40 mg/mL injectable suspension",1358610,1744222
2369702,2314,MMSL,BD,"Medralone 80, 80 mg/mL injectable suspension",1358617,1744234
2369703,2314,MMSL,BD,"Medralone, 80 mg/mL injectable suspension",1358617,1744234
2369829,2312,MMSL,BD,"Methacort 40, 40 mg/mL injectable suspension",1358610,1744216
2369830,2314,MMSL,BD,"Methacort 80, 80 mg/mL injectable suspension",1358617,1744231
2369850,2286,MMSL,BD,"Methergine, 0.2 mg/mL injectable solution",996830,1740920
2369874,2312,MMSL,BD,"MethylPREDNISolone Acetate, 40 mg/mL injectable suspension",1358610,1743816
2369875,2314,MMSL,BD,"MethylPREDNISolone Acetate, 80 mg/mL injectable suspension",1358617,1743943
2369881,2320,MMSL,BD,"MethylPREDNISolone Sodium Succinate, 125 mg injectable powder for injection",314099,1743704
2369884,2318,MMSL,BD,"MethylPREDNISolone, 500 mg injectable powder for injection",105403,1743720
2369895,2312,MMSL,BD,"Methylcotol, 40 mg/mL injectable suspension",1358610,1744218
2369896,2314,MMSL,BD,"Methylcotolone, 80 mg/mL injectable suspension",1358617,1744235
2369907,2312,MMSL,BD,"Methylone 40, 40 mg/mL injectable suspension",1358610,1744219
2369908,2314,MMSL,BD,"Methylone 80, 80 mg/mL injectable suspension",1358617,1744232
2369914,2394,MMSL,BD,"Metoprolol Tartrate, 1 mg/mL injectable solution",866508,1744257
2370066,2345,MMSL,BD,"Mio-Rel, 30 mg/mL injectable solution",994760,1741589
2370107,3961,MMSL,BD,"Molypen, 25 mcg/mL intravenous solution",902224,1742561
2370326,2345,MMSL,BD,"Myolin, 30 mg/mL injectable solution",994762,1741590
2370835,2345,MMSL,BD,"Norflex Injectable, 30 mg/mL injectable solution",994766,1740449
2371285,2345,MMSL,BD,"Orfro, 30 mg/mL injectable solution",994768,1740448
2371298,2345,MMSL,BD,"Orphenate, 30 mg/mL injectable solution",994770,1741591
2371392,2352,MMSL,BD,"Oxacillin Sodium, 1 g injectable powder for injection",1432152,1743547
2371395,2353,MMSL,BD,"Oxacillin Sodium, 2 g injectable powder for injection",312130,1743549
2371863,6330,MMSL,BD,"Pepcid, 20 mg/50 mL intravenous solution",212993,1743849
2372478,2314,MMSL,BD,"Predacorten, 80 mg/mL injectable suspension",1358617,1744230
2373046,15425,MMSL,BD,"RadiaPlexRx, topical gel",666418,544087
2373113,2377,MMSL,BD,"Reglan, 5 mg/mL injectable solution",207263,1740915
2373888,2191,MMSL,BD,"Skelex, 100 mg/mL injectable solution",207015,1741269
2374116,NOCODE,MMSL,MS,Sodium Tungstate Dihydrate,601798,270651
2376361,8218,MMSL,BD,"Venofer, 20 mg/mL intravenous solution",284502,1741265
2376918,6630,MMSL,BD,"Zemplar, 5 mcg/mL intravenous solution",1736923,1742397
2378547,6913,MMSL,CD,ferumoxides 11.2 mg/mL intravenous solution,310329,1739530
2378823,13034,MMSL,CD,histrelin 50 mg subcutaneous implant,1294624,1740440
2379081,8218,MMSL,CD,iron sucrose 20 mg/mL intravenous solution,283517,1741264
2379351,2194,MMSL,CD,methohexital 2.5 g intravenous powder for injection,1244231,1244233
2379352,2196,MMSL,CD,methohexital 5 g intravenous powder for injection,1244231,1741139
2379364,2315,MMSL,CD,methylPREDNISolone 1 g injectable powder for injection,105403,1743726
2379610,2336,MMSL,CD,ondansetron 2 mg/mL injectable solution,283504,1436569
2379619,2352,MMSL,CD,oxacillin 1 g injectable powder for injection,312130,1743547
2379622,2353,MMSL,CD,oxacillin 2 g injectable powder for injection,312130,1743549
2379625,2354,MMSL,CD,oxacillin 4 g injectable powder for injection,312130,1743551
2380054,20543,MMSL,IN,saccharomyces boulardii lyo,602738,236782
2380055,d05646,MMSL,GN,saccharomyces boulardii lyo,602738,236782
2380056,15253,MMSL,CD,saccharomyces boulardii lyo 250 mg oral capsule,602741,580285
2384507,419002006,SNOMEDCT_US,PT,Iron sucrose 20mg/mL injection solution 2.5mL vial,283517,1741270
2384508,419002006,SNOMEDCT_US,FN,Iron sucrose 20mg/mL injection solution 2.5mL vial (product),283517,1741270
2384509,418690004,SNOMEDCT_US,PT,Iron sucrose 20mg/mL injection solution 3.75mL vial,283517,1741274
2384510,418690004,SNOMEDCT_US,FN,Iron sucrose 20mg/mL injection solution 3.75mL vial (product),283517,1741274
2384511,419002006,SNOMEDCT_US,SY,Iron sucrose 50mg/2.5mL injection,283517,1741270
2384512,418690004,SNOMEDCT_US,SY,Iron sucrose 75mg/3.75mL injection,283517,1741274
2446612,016337,NDDF,CDA,"SALICYLIC ACID 40 % TOPICAL ADHESIVE PATCH, MEDICATED",240559,797927
2446613,016337,NDDF,CDC,"SALICYLIC ACID 40 % TOPICAL ADHESIVE PATCH, MEDICATED",240559,797927
2446718,016337,NDDF,CDD,"SALICYLIC ACID@40 %@TOPICAL@ADHESIVE PATCH, MEDICATED",240559,797927
2450983,012092,NDDF,CDA,TIOCONAZOLE 6.5 % VAGINAL OINTMENT WITH PREFILLED APPLICATOR,1233674,1597827
2450984,012092,NDDF,CDC,TIOCONAZOLE 6.5 % VAGINAL OINTMENT WITH PREFILLED APPLICATOR,1233674,1597827
2450985,012092,NDDF,CDD,TIOCONAZOLE@6.5 %@VAGINAL@OINTMENT WITH PREFILLED APPLICATOR,1233674,1597827
2455291,8,MMSL,BD,"Flexbumin, 25% intravenous solution",617606,1742402
2456734,114669,MMX,CD,Permethrin 1% Topical application Lotion,312320,250387
2531071,07270,MDDB,CD,Fludarabine Phosphate For Inj 50 MG,310354,1740864
2531072,44908,MDDB,CD,Fludarabine Phosphate Inj 25 MG/ML,310354,1740866
2533061,43590,MDDB,CD,Ziconotide Acetate Intrathecal Inj 500 MCG/20ML (25 MCG/ML),486133,583453
2543087,8,MMSL,BD,"Plasbumin-25 (Low Aluminum), 25% intravenous solution",545408,1742396
2545081,420813001,SNOMEDCT_US,PT,Brivaracetam,638343,1739745
2545082,421052000,SNOMEDCT_US,PT,Brivaracetam,638343,1739745
2545083,421052000,SNOMEDCT_US,FN,Brivaracetam (product),638343,1739745
2545084,420813001,SNOMEDCT_US,FN,Brivaracetam (substance),638343,1739745
2551772,125253,MMX,CD,Fludarabine Phosphate 25 MG/ML Intravenous Solution,310354,1740865
2601071,102482,MMX,CD,Methylprednisolone Sodium Succinate 125 MG Injection Powder for Solution,314099,1743704
2602199,4025319,VANDF,CD,HISTRELIN ACETATE 50MG IMPLANT,1294624,1740440
2602651,4025617,VANDF,CD,"RADIAPLEXRX GEL,TOP",666418,544087
2622605,0089-0540,MTHSPL,DP,orphenadrine citrate 60 MILLIGRAM In 2 MILLILITER INTRAMUSCULAR INJECTION [Norflex],994766,1740449
2622868,18606,MMSL,BD,"Benefiber, 100% oral powder for reconstitution",1088194,1147973
2626420,4021625,VANDF,PT,ADRENAL CORTICOSTERIODS,693023,354
2638686,10594,GS,BD,Adenoscan 3mg/ml Solution for Injection,1654042,1654039
2638800,19984,GS,CD,Albumin Human 20% Solution for injection,245161,1741293
2638801,4405,GS,CD,Albumin Human 25% Solution for injection,238643,1741378
2638803,4520,GS,CD,Albumin Human 5% Solution for injection,238644,1741405
2638806,23387,GS,BD,Albuminar 25% Solution for Injection,213989,1741759
2638809,4465,GS,BD,Albutein 20% Solution for Injection,204112,1742218
2638810,2032,GS,BD,Albutein 25% Solution for Injection,107133,1741379
2638811,2031,GS,BD,Albutein 5% Solution for Injection,202209,1741406
2639309,12713,GS,BD,Antilirium 1mg/ml Solution for Injection,990984,1739531
2639779,14522,GS,BD,Ayr Saline Nasal Mist 0.65% Solution,707333,707359
2642352,12724,GS,BD,Depo-Medrol 40mg/ml Suspension for Injection,1358612,1743785
2642353,22476,GS,BD,Depo-Medrol 80mg/ml Suspension for Injection,1358619,1743933
2643760,7690,GS,CD,Famotidine 10mg/1mL Solution for injection,204441,1743840
2643830,12300,GS,BD,Feridex 11.2mg/ml Solution for Injection,261125,1739529
2643919,27900,GS,BD,Flexbumin 25% Albumin (Human) Solution for Injection,617606,1742402
2643960,20354,GS,BD,Fludara 50mg Powder for Injection,108475,1740860
2643961,16630,GS,CD,Fludarabine Phosphate 25mg/1mL Solution for injection,310354,1740865
2643962,743,GS,CD,Fludarabine Phosphate 50mg Powder for solution for injection,310354,1740864
2644598,7930,GS,CD,Haloperidol Lactate 5mg/1mL Solution for injection,1719647,1740430
2644660,2661,GS,CD,"Heparin Sodium (Porcine) 5,000U/1mL Solution for injection",1659265,1670358
2645042,23013,GS,BD,Inapsine 2.5mg/ml Solution for Injection,205667,1743568
2645128,10192,GS,BD,Intropin 160mg/ml Solution for Injection,1114876,1743859
2645129,10193,GS,BD,Intropin 40mg/ml Solution for Injection,1114882,1743860
2646282,9605,GS,BD,Methergine 0.2mg/ml Solution for Injection,996830,1740920
2646328,11207,GS,CD,Methylprednisolone Acetate 40mg/1mL Suspension for injection,1358610,1743816
2646330,11209,GS,CD,Methylprednisolone Acetate 80mg/1mL Suspension for injection,1358617,1743943
2646331,3301,GS,CD,"Methylprednisolone Sodium Succinate 1,000mg Powder for solution for injection",105403,1743726
2646333,16325,GS,CD,Methylprednisolone Sodium Succinate 125mg Powder for solution for injection,314099,1743704
2646336,3300,GS,CD,Methylprednisolone Sodium Succinate 500mg Powder for solution for injection,105403,1743720
2646356,1670,GS,CD,Metoprolol Tartrate 1mg/1mL Solution for injection,866508,1744257
2646518,7963,GS,CD,Mitomycin 20mg Powder for solution for injection,314096,1740900
2646519,7966,GS,CD,Mitomycin 40mg Powder for solution for injection,314096,1740898
2646520,7964,GS,CD,Mitomycin 5mg Powder for solution for injection,314096,1740894
2646539,11084,GS,BD,Molypen 25mcg/ml Solution for Injection,902224,1742561
2646681,2702,GS,BD,Mutamycin 20mg Powder for Injection,209175,1740878
2646682,2709,GS,BD,Mutamycin 40mg Powder for Injection,209175,1740878
2646683,2701,GS,BD,Mutamycin 5mg Powder for Injection,209175,1740878
2647149,12540,GS,BD,Norflex 30mg/ml Solution for Injection,994766,1740449
2647150,27612,GS,BD,Norflex 30mg/ml Solution for Injection,994766,1740449
2647449,1324,GS,CD,Oxacillin Sodium 1g Powder for solution for injection,1432152,1743547
2647452,1325,GS,CD,Oxacillin Sodium 2g Powder for solution for injection,312130,1743549
2647454,12599,GS,CD,Oxacillin Sodium 500mg Powder for solution for injection,312130,1743550
2647765,5446,GS,BD,Pepcid 20mg/50ml Premixed Solution for Injection,212993,1743849
2647987,14488,GS,BD,Plasbumin 25% Solution for Injection,545408,1742396
2647988,21940,GS,BD,Plasbumin 25% Solution for Injection,545408,1742396
2647989,13081,GS,BD,Plasbumin-20 20% Solution for Injection,1095496,1741312
2647990,13085,GS,BD,Plasbumin-20% Solution for Injection,1095496,1741312
2647991,13087,GS,BD,Plasbumin-5% Solution for Injection,545410,1742229
2647992,21942,GS,BD,Plasbumin-5% Solution for Injection,545410,1742229
2648725,13108,GS,BD,Reglan 5mg/ml Solution for Injection,207263,1740915
2648726,1427,GS,BD,Reglan 5mg/ml Solution for Injection,207263,1740915
2649397,11618,GS,BD,Solu-Medrol 125mg Powder for Injection,207193,1743707
2649401,11339,GS,BD,Solu-Medrol 500mg Powder for Injection,1148914,1744243
2650133,19787,GS,CD,Tioconazole 6.5% Vaginal ointment,1233674,1597827
2650754,14356,GS,BD,Vagistat-1 6.5% Vaginal Ointment,208578,1550534
2650834,13577,GS,BD,Venofer 100mg/5ml Solution for Injection,284502,1741268
2651400,27855,GS,BD,Zofran 32mg/50ml in Dextrose 5% Solution for Injection,207217,1741129
2656189,28550,GS,BD,Fludara 50mg Powder for Injection,108475,1740860
2656191,28561,GS,BD,Feridex 11.2mg/ml Solution for Injection,261125,1739529
2656883,102554,MMX,CD,Mitomycin 20 MG Intravenous Powder for Solution,314096,1740900
2656884,102555,MMX,CD,Mitomycin 40 MG Intravenous Powder for Solution,314096,1740898
2656885,102556,MMX,CD,Mitomycin 5 MG Intravenous Powder for Solution,314096,1740894
2657270,0089-0540,MTHSPL,DP,orphenadrine citrate 60 MILLIGRAM In 2 MILLILITER INTRAVENOUS INJECTION [Norflex],994766,1740449
2657756,28826,GS,CD,Tioconazole 6.5% Vaginal ointment with Vaginal Applicator,198380,1597827
2658011,50929,MDDB,CD,Budesonide-Formoterol Fumarate Dihyd Aerosol 80-4.5 MCG/ACT,409732,1360304
2704703,124457,MMX,CD,Histrelin Acetate 50 MG Subcutaneous Implant,1294624,1740440
2705034,29305,GS,BD,Albuminar 25% Solution for Injection,213989,1741759
2705070,29307,GS,BD,Albuminar 5% Solution for Injection,213520,1741763
2705152,29306,GS,BD,Albuminar 5% Solution for Injection,213520,1741763
2705169,29304,GS,BD,Albuminar 20% Solution for Injection,831406,1742566
2719038,29674,GS,CD,"Heparin Sodium (Porcine) 50U/1mL, Sodium Chloride 0.45% Solution for injection",1659187,1659196
2719053,29514,GS,CD,Dopamine Hydrochloride 40mg/1mL Solution for injection,1114880,1743941
2719060,29515,GS,CD,Dopamine Hydrochloride 80mg/1mL Solution for injection,1114888,1743951
2719109,29659,GS,CD,Dopamine Hydrochloride 400mg/10mL Solution for injection,1114880,1743938
2719497,29619,GS,BD,Buminate 25% Solution for Injection,213990,1741572
2725237,1068,MMSL,CD,DOPamine 1.6 mg/mL-D5% intravenous solution,1292751,1743878
2725239,1066,MMSL,CD,DOPamine 800 mcg/mL-D5% intravenous solution,1292740,1743870
2725240,1068,MMSL,BD,"DOPamine Hydrochloride, 1.6 mg/mL-D5% intravenous solution",1292751,1743878
2725242,1066,MMSL,BD,"DOPamine Hydrochloride, 800 mcg/mL-D5% intravenous solution",1292740,1743870
2725253,1855,MMSL,BD,"Dextrose-Heparin Sodium, 50 units/mL-D5% intravenous solution",1659187,1659196
2725293,1863,MMSL,BD,"Heparin Sodium-Sodium Chloride, 50 units/mL-NaCl 0.45% intravenous solution",1659187,1659196
2725777,061528,NDDF,CDA,ONDANSETRON HCL/PF 4 mg/2 mL INJECTION AMPUL (ML),283504,1740467
2725778,061528,NDDF,CDC,ONDANSETRON HCL/PF 4 mg/2 mL INJECTION AMPUL (ML),283504,1740467
2725779,061528,NDDF,CDD,ONDANSETRON HCL/PF@4 mg/2 mL@INJECTION@AMPUL (ML),283504,1740467
2753198,19796,MMSL,BD,"Fludarabine Phosphate, 25 mg/mL intravenous solution",310354,1740865
2753232,120025,MMSL,BN,Ofloxacin Otic,387905,1160453
2753239,2336,MMSL,BD,"Ondansetron Hydrochloride Novaplus, 2 mg/mL injectable solution",283504,1740467
2753291,3335,MMSL,BD,"Tioconazole-1, 6.5% vaginal ointment w/applicator",1233674,1597827
2753373,19796,MMSL,CD,fludarabine 25 mg/mL intravenous solution,310354,1740866
2756364,30566,GS,BD,Banflex 30mg/ml Solution for Injection,994545,1741592
2757239,21492,MMSL,BD,"HepaGam B NovaPlus, injectable solution",1658424,1658160
2757240,21492,MMSL,BD,"HepaGam B, injectable solution",1658424,1658160
2769857,347392009,SNOMEDCT_US,SY,Dopamine hydrochloride 400mg/glucose infusion solution 250mL vial,1292751,1743877
2798714,11098-010,MTHSPL,DP,droperidol 2.5 MILLIGRAM In 1 MILLILITER INTRAMUSCULAR INJECTION [INAPSINE],205667,1743568
2798715,11098-531,MTHSPL,DP,droperidol 2.5 MILLIGRAM In 1 MILLILITER INTRAMUSCULAR INJECTION [INAPSINE],205667,1743568
2798716,11098-010,MTHSPL,DP,droperidol 2.5 MILLIGRAM In 1 MILLILITER INTRAVENOUS INJECTION [INAPSINE],205667,1743568
2798717,11098-531,MTHSPL,DP,droperidol 2.5 MILLIGRAM In 1 MILLILITER INTRAVENOUS INJECTION [INAPSINE],205667,1743568
2798723,59338-7035,MTHSPL,DP,ferumoxides 11.2 MILLIGRAM In 1 MILLILITER INTRAVENOUS SOLUTION [Feridex],261125,1739529
2800725,2314,MMSL,BD,"M-PREDNISolone, 80 mg/mL injectable suspension",1358617,1744226
2802451,31781,GS,BD,Albumarc 5% Solution for Injection,213518,1742680
2802578,31780,GS,BD,Albumarc 25% Solution for Injection,213987,1742679
2803249,102431,MMX,CD,Methohexital Sodium 2.5 GM Intravenous Powder for Solution,1244231,1244233
2803255,126583,MMX,CD,Oxacillin Sodium 1 GM Intravenous Powder for Solution,312128,1743547
2803256,126584,MMX,CD,Oxacillin Sodium 2 GM Intravenous Powder for Solution,312130,1743549
2804653,23537,MMSL,BD,"Famotidine, 20 mg/10 mL-NaCl 0.9% intravenous solution",792168,1743845
2804654,23536,MMSL,BD,"Famotidine, 20 mg/5 mL-NaCl 0.9% intravenous solution",246216,1743847
2804832,23537,MMSL,CD,famotidine 20 mg/10 mL-NaCl 0.9% intravenous solution,792168,1743845
2804833,23536,MMSL,CD,famotidine 20 mg/5 mL-NaCl 0.9% intravenous solution,246216,1743847
2820591,006328,NDDF,CDA,ALBUMIN HUMAN 20 % INTRAVEN INTRAVENOUS SOLUTION,245161,1741295
2820592,006328,NDDF,CDC,ALBUMIN HUMAN 20 % INTRAVEN INTRAVENOUS SOLUTION,245161,1741295
2820595,006329,NDDF,CDA,ALBUMIN HUMAN 25 % INTRAVEN INTRAVENOUS SOLUTION,238643,1741378
2820596,006329,NDDF,CDC,ALBUMIN HUMAN 25 % INTRAVEN INTRAVENOUS SOLUTION,238643,1741378
2820599,006330,NDDF,CDA,ALBUMIN HUMAN 5 % INTRAVEN INTRAVENOUS SOLUTION,238644,1741405
2820600,006330,NDDF,CDC,ALBUMIN HUMAN 5 % INTRAVEN INTRAVENOUS SOLUTION,238644,1741405
2820609,006328,NDDF,CDD,ALBUMIN HUMAN@20 %@INTRAVEN@INTRAVENOUS SOLUTION,245161,1741295
2820611,006329,NDDF,CDD,ALBUMIN HUMAN@25 %@INTRAVEN@INTRAVENOUS SOLUTION,238643,1741378
2820613,006330,NDDF,CDD,ALBUMIN HUMAN@5 %@INTRAVEN@INTRAVENOUS SOLUTION,238644,1741405
2824703,004979,NDDF,CDA,DOPAMINE HCL 40 mg/mL INTRAVEN AMPUL (ML),1114880,1743939
2824704,004979,NDDF,CDC,DOPAMINE HCL 40 mg/mL INTRAVEN AMPUL (ML),1114880,1743939
2824709,004980,NDDF,CDA,DOPAMINE HCL 80 mg/mL INTRAVEN AMPUL (ML),1114888,1743951
2824710,004980,NDDF,CDC,DOPAMINE HCL 80 mg/mL INTRAVEN AMPUL (ML),1114888,1743951
2824741,004979,NDDF,CDD,DOPAMINE HCL@40 mg/mL@INTRAVEN@AMPUL (ML),1114880,1743939
2824744,004980,NDDF,CDD,DOPAMINE HCL@80 mg/mL@INTRAVEN@AMPUL (ML),1114888,1743951
2830471,008903,NDDF,CDA,"OXACILLIN SODIUM 1 gram INTRAVEN INTRAVENOUS SOLUTION, PIGGYBACK (EA)",312128,1743547
2830472,008903,NDDF,CDC,"OXACILLIN SODIUM 1 gram INTRAVEN INTRAVENOUS SOLUTION, PIGGYBACK (EA)",312128,1743547
2830475,059860,NDDF,CDA,OXACILLIN SODIUM 1 gram INTRAVEN VIAL WITH THREADED PORT (EA),312128,1743547
2830476,059860,NDDF,CDC,OXACILLIN SODIUM 1 gram INTRAVEN VIAL WITH THREADED PORT (EA),312128,1743547
2830477,008904,NDDF,CDA,"OXACILLIN SODIUM 2 gram INTRAVEN INTRAVENOUS SOLUTION, PIGGYBACK (EA)",240637,1743549
2830478,008904,NDDF,CDC,"OXACILLIN SODIUM 2 gram INTRAVEN INTRAVENOUS SOLUTION, PIGGYBACK (EA)",240637,1743549
2830481,059861,NDDF,CDA,OXACILLIN SODIUM 2 gram INTRAVEN VIAL WITH THREADED PORT (EA),312130,1743549
2830482,059861,NDDF,CDC,OXACILLIN SODIUM 2 gram INTRAVEN VIAL WITH THREADED PORT (EA),312130,1743549
2830483,008905,NDDF,CDA,"OXACILLIN SODIUM 4 gram INTRAVEN INTRAVENOUS SOLUTION, PIGGYBACK (EA)",312130,1743551
2830484,008905,NDDF,CDC,"OXACILLIN SODIUM 4 gram INTRAVEN INTRAVENOUS SOLUTION, PIGGYBACK (EA)",312130,1743551
2830491,008903,NDDF,CDD,"OXACILLIN SODIUM@1 gram@INTRAVEN@INTRAVENOUS SOLUTION, PIGGYBACK (EA)",312128,1743547
2830493,059860,NDDF,CDD,OXACILLIN SODIUM@1 gram@INTRAVEN@VIAL WITH THREADED PORT (EA),312128,1743547
2830494,008904,NDDF,CDD,"OXACILLIN SODIUM@2 gram@INTRAVEN@INTRAVENOUS SOLUTION, PIGGYBACK (EA)",240637,1743549
2830496,059861,NDDF,CDD,OXACILLIN SODIUM@2 gram@INTRAVEN@VIAL WITH THREADED PORT (EA),312130,1743549
2830497,008905,NDDF,CDD,"OXACILLIN SODIUM@4 gram@INTRAVEN@INTRAVENOUS SOLUTION, PIGGYBACK (EA)",312130,1743551
2835284,4003898,VANDF,AB,"ALBUMIN,HUMAN 25% INJ",238643,1741378
